#,NAME,channel_name,total_subscribers,total_views,total_videos
87,LaserBolt @UC5kbCDveYQUcxoOll5NKocA,Internet Today,302000,44023795,1553
88,Chill Fuel @UCHoRvL_JN1_pqRmMlgfUVsQ,Internet Today,302000,106954028,910
89,This is Tech Today @UCEAMLkMKtq6YhmaZdUT1ywA,Ryan Shaw,284000,44023795,1553
90,Charley Pangus @UC_qOwbxx7wi3Sko_Mg7iY5g,Charley Pangus,284000,165722338,1230
91,Crypto Zombie @UCiUnrCUGCJTCC7KjuW493Ww,Charley Pangus,284000,18771923,277
92,GregsGadgets @UCoi3Uk6JtP9QgA5BRwnh6NQ,IT Career Questions,280000,106954028,910
93,Internet Today @UCyZVCV9xhrCyz4hPehvb4Wg,LaserBolt,278000,165801779,1230
94,Flossy Carter @UCFfCqe7b9YiDk2ZiAG8UIGA,Awesome Tech,276000,408673888,2814
95,Jon Rettinger @UCR0AnNR7sViH3TWMJl5jyxw,TWiT Tech Podcast Network,269000,679581000,4898
96,iJustine @UCey_c7U86mJGz1VJWH5CYPA,Crypto Zombie,262000,1464552005,2558
97,Brandon Butch @UCpZy-Hfqcxf-R7nQzlv9Bvw,Crypto Zombie,262000,420659661,1663
98,Matt Talks Tech @UCz6PEeVLG1TL6jMRTvSLm4g,DeviceCustomizer,256000,175015162,1623
99,Pocketnow @UCO_vmeInQm5Z6dEZ6R5Kk0A,Kristina Braly,252000,779705574,7972
100,Ryan Shaw @UCfv7-e6_6ZhvDL9-7Yw5OVA,Chill Fuel,248000,104742108,596
,,,91.694,19.70054543,
